Key,Source,Context,Changes,English,German
mcCubeContainerFood,blocks,Block,New,"Food Storage Box",Lagerkiste [00CED1](Nahrung)[-]
mcCubeContainerFoodInsecure,blocks,Block,New,"Food Storage Box",Lagerkiste [00CED1](Nahrung)[-]
mcCubeContainerForge,blocks,Block,New,"Forge Storage Box",Lagerkiste [00CED1](Schmieden)[-]
mcCubeContainerForgeInsecure,blocks,Block,New,"Forge Storage Box",Lagerkiste [00CED1](Schmieden)[-]
mcCubeContainerGas,blocks,Block,New,"Gasoline Storage Box",Lagerkiste [00CED1](Benzin)[-]
mcCubeContainerGasInsecure,blocks,Block,New,"Gasoline Storage Box",Lagerkiste [00CED1](Benzin)[-]
mcCubeContainerGunCrafting,blocks,Block,New,"Gun Crafting Storage Box",Lagerkiste [00CED1](Waffencrafting)[-]
mcCubeContainerGunCraftingInsecure,blocks,Block,New,"Gun Crafting Storage Box",Lagerkiste [00CED1](Waffencrafting)[-]
mcCubeContainerHealth,blocks,Block,New,"Health Storage Box",Lagerkiste [00CED1](Erste Hilfe)[-]
mcCubeContainerHealthInsecure,blocks,Block,New,"Health Storage Box",Lagerkiste [00CED1](Erste Hilfe)[-]
mcCubeContainerMining,blocks,Block,New,"Mining Storage Box",Lagerkiste [00CED1](Bergbau)[-]
mcCubeContainerMiningInsecure,blocks,Block,New,"Mining Storage Box",Lagerkiste [00CED1](Bergbau)[-]
mcCubeContainerModding,blocks,Block,New,"Mods Storage Box",Lagerkiste [00CED1](Mods)[-]
mcCubeContainerModdingInsecure,blocks,Block,New,"Mods Storage Box",Lagerkiste [00CED1](Mods)[-]
mcCubeContainerModArmor,blocks,Block,New,"Armor Mods Storage Box",Lagerkiste [00CED1](Rüstungsmods)[-]
mcCubeContainerModArmorInsecure,blocks,Block,New,"Armor Mods Storage Box",Lagerkiste [00CED1](Rüstungsmods)[-]
mcCubeContainerModVehicle,blocks,Block,New,"Vehicle Mods Storage Box",Lagerkiste [00CED1](Fahrzeugmods)[-]
mcCubeContainerModVehicleInsecure,blocks,Block,New,"Vehicle Mods Storage Box",Lagerkiste [00CED1](Fahrzeugmods)[-]
mcCubeContainerModWeapon,blocks,Block,New,"Weapon Mods Storage Box",Lagerkiste [00CED1](Waffenmods)[-]
mcCubeContainerModWeaponInsecure,blocks,Block,New,"Weapon Mods Storage Box",Lagerkiste [00CED1](Waffenmods)[-]
mcCubeContainerPlants,blocks,Block,New,"Plants Storage Box",Lagerkiste [00CED1](Pflanzen)[-]
mcCubeContainerPlantsInsecure,blocks,Block,New,"Plants Storage Box",Lagerkiste [00CED1](Pflanzen)[-]
mcCubeContainerRecycle,blocks,Block,New,"Recycling Storage Box",Lagerkiste [00CED1](Recycling)[-]
mcCubeContainerRecycleInsecure,blocks,Block,New,"Recycling Storage Box",Lagerkiste [00CED1](Recycling)[-]
mcCubeContainerResources,blocks,Block,New,"Resources Storage Box",Lagerkiste [00CED1](Rohstoffe)[-]
mcCubeContainerResourcesInsecure,blocks,Block,New,"Resources Storage Box",Lagerkiste [00CED1](Rohstoffe)[-]
mcCubeContainerToolSmithing,blocks,Block,New,"Tool Smithing Storage Box",Lagerkiste [00CED1](Werkzeugschmieden)[-]
mcCubeContainerToolSmithingInsecure,blocks,Block,New,"Tool Smithing Storage Box",Lagerkiste [00CED1](Werkzeugschmieden)[-]
mcCubeContainerWeapons,blocks,Block,New,"Weapons Storage Box",Lagerkiste [00CED1](Waffen)[-]
mcCubeContainerWeaponsInsecure,blocks,Block,New,"Weapons Storage Box",Lagerkiste [00CED1](Waffen)[-]
mcCubeContainerMeleeWeapons,blocks,Block,New,"Melee Weapons Storage Box",Lagerkiste [00CED1](Nahkampfwaffen)[-]
mcCubeContainerMeleeWeaponsInsecure,blocks,Block,New,"Melee Weapons Storage Box",Lagerkiste [00CED1](Nahkampfwaffen)[-]
mcCubeContainerRangeWeapons,blocks,Block,New,"Range Weapons Storage Box",Lagerkiste [00CED1](Fernkampfwaffen)[-]
mcCubeContainerRangeWeaponsInsecure,blocks,Block,New,"Range Weapons Storage Box",Lagerkiste [00CED1](Fernkampfwaffen)[-]
mcCubeContainerWorkbench,blocks,Block,New,"Workbench Storage Box",Lagerkiste [00CED1](Werkbank)[-]
mcCubeContainerWorkbenchInsecure,blocks,Block,New,"Workbench Storage Box",Lagerkiste [00CED1](Werkbank)[-]


mcHalfCubeContainer,blocks,Block,New,"Halfblock Generic Storage Box",1/2 Block Allgemeine Lagerkiste
mcHalfCubeContainerInsecure,blocks,Block,New,"Halfblock Generic Storage Box",1/2 Block Allgemeine Lagerkiste
mcHalfCubeContainerAmmo,blocks,Block,New,"Halfblock Ammo Storage Box",1/2 Block Lagerkiste [00CED1](Munition)[-]
mcHalfCubeContainerAmmoInsecure,blocks,Block,New,"Halfblock Ammo Storage Box",1/2 Block Lagerkiste [00CED1](Munition)[-]
mcHalfCubeContainerAmmo9mm,blocks,Block,New,"Halfblock 9mm Ammo Storage Box",1/2 Block Lagerkiste [00CED1](9mm Munition)[-]
mcHalfCubeContainerAmmo9mmInsecure,blocks,Block,New,"Halfblock 9mm Ammo Storage Box",1/2 Block Lagerkiste [00CED1](9mm Munition)[-]
mcHalfCubeContainerAmmoArrow,blocks,Block,New,"Halfblock Arrows Storage Box",1/2 Block Lagerkiste [00CED1](Pfeile)[-]
mcHalfCubeContainerAmmoArrowInsecure,blocks,Block,New,"Halfblock Arrows Storage Box",1/2 Block Lagerkiste [00CED1](Pfeile)[-]
mcHalfCubeContainerAmmoMagnum,blocks,Block,New,"Halfblock Magnum Ammo Storage Box",1/2 Block Lagerkiste [00CED1](.44 Munition)[-]
mcHalfCubeContainerAmmoMagnumInsecure,blocks,Block,New,"Halfblock Magnum Ammo Storage Box",1/2 Block Lagerkiste [00CED1](.44 Munition)[-]
mcHalfCubeContainerAmmoShell,blocks,Block,New,"Halfblock Shotgun Shells Storage Box",1/2 Block Lagerkiste [00CED1](Schrotpatronen)[-]
mcHalfCubeContainerAmmoShellInsecure,blocks,Block,New,"Halfblock Shotgun Shells Storage Box",1/2 Block Lagerkiste [00CED1](Schrotpatronen)[-]
mcHalfCubeContainerArmors,blocks,Block,New,"Halfblock Armors Storage Box",1/2 Block Lagerkiste [00CED1](Rüstung)[-]
mcHalfCubeContainerArmorsInsecure,blocks,Block,New,"Halfblock Armors Storage Box",1/2 Block Lagerkiste [00CED1](Rüstung)[-]
mcHalfCubeContainerAutoparts,blocks,Block,New,"Halfblock Auto Parts Storage Box",1/2 Block Lagerkiste [00CED1](Autoteile)[-]
mcHalfCubeContainerAutopartsInsecure,blocks,Block,New,"Halfblock Auto Parts Storage Box",1/2 Block Lagerkiste [00CED1](Autoteile)[-]
mcHalfCubeContainerBarter,blocks,Block,New,"Halfblock Barter Storage Box",1/2 Block Lagerkiste [00CED1](Händler)[-]
mcHalfCubeContainerBarterInsecure,blocks,Block,New,"Halfblock Barter Storage Box",1/2 Block Lagerkiste [00CED1](Händler)[-]
mcHalfCubeContainerBuilding,blocks,Block,New,"Halfblock Building Storage Box",1/2 Block Lagerkiste [00CED1](Bauen)[-]
mcHalfCubeContainerBuildingInsecure,blocks,Block,New,"Halfblock Building Storage Box",1/2 Block Lagerkiste [00CED1](Bauen)[-]
mcHalfCubeContainerCementMixer,blocks,Block,New,"Halfblock Cement Mixer Storage Box",1/2 Block Lagerkiste [00CED1](Betonmischer)[-]
mcHalfCubeContainerCementMixerInsecure,blocks,Block,New,"Halfblock Cement Mixer Storage Box",1/2 Block Lagerkiste [00CED1](Betonmischer)[-]
mcHalfCubeContainerChemistry,blocks,Block,New,"Halfblock Chemical Storage Box",1/2 Block Lagerkiste [00CED1](Chemie)[-]
mcHalfCubeContainerChemistryInsecure,blocks,Block,New,"Halfblock Chemical Storage Box",1/2 Block Lagerkiste [00CED1](Chemie)[-]
mcHalfCubeContainerCrafting,blocks,Block,New,"Halfblock Crafting Storage Box",1/2 Block Lagerkiste [00CED1](Crafting)[-]
mcHalfCubeContainerCraftingInsecure,blocks,Block,New,"Halfblock Crafting Storage Box",1/2 Block Lagerkiste [00CED1](Crafting)[-]
mcHalfCubeContainerElectricity,blocks,Block,New,"Halfblock Electrical Storage Box",1/2 Block Lagerkiste [00CED1](Elektronik)[-]
mcHalfCubeContainerElectricityInsecure,blocks,Block,New,"Halfblock Electrical Storage Box",1/2 Block Lagerkiste [00CED1](Elektronik)[-]
mcHalfCubeContainerExplosive,blocks,Block,New,"Halfblock Explosive Storage Box",1/2 Block Lagerkiste [00CED1](Sprengstoffe)[-]
mcHalfCubeContainerExplosiveInsecure,blocks,Block,New,"Halfblock Explosive Storage Box",1/2 Block Lagerkiste [00CED1](Sprengstoffe)[-]
mcHalfCubeContainerFood,blocks,Block,New,"Halfblock Food Storage Box",1/2 Block Lagerkiste [00CED1](Nahrung)[-]
mcHalfCubeContainerFoodInsecure,blocks,Block,New,"Halfblock Food Storage Box",1/2 Block Lagerkiste [00CED1](Nahrung)[-]
mcHalfCubeContainerForge,blocks,Block,New,"Halfblock Forge Storage Box",1/2 Block Lagerkiste [00CED1](Schmieden)[-]
mcHalfCubeContainerForgeInsecure,blocks,Block,New,"Halfblock Forge Storage Box",1/2 Block Lagerkiste [00CED1](Schmieden)[-]
mcHalfCubeContainerGas,blocks,Block,New,"Halfblock Gasoline Storage Box",1/2 Block Lagerkiste [00CED1](Benzin)[-]
mcHalfCubeContainerGasInsecure,blocks,Block,New,"Halfblock Gasoline Storage Box",1/2 Block Lagerkiste [00CED1](Benzin)[-]
mcHalfCubeContainerGunCrafting,blocks,Block,New,"Halfblock Gun Crafting Storage Box",1/2 Block Lagerkiste [00CED1](Waffencrafting)[-]
mcHalfCubeContainerGunCraftingInsecure,blocks,Block,New,"Halfblock Gun Crafting Storage Box",1/2 Block Lagerkiste [00CED1](Waffencrafting)[-]
mcHalfCubeContainerHealth,blocks,Block,New,"Halfblock Health Storage Box",1/2 Block Lagerkiste [00CED1](Erste Hilfe)[-]
mcHalfCubeContainerHealthInsecure,blocks,Block,New,"Halfblock Health Storage Box",1/2 Block Lagerkiste [00CED1](Erste Hilfe)[-]
mcHalfCubeContainerMining,blocks,Block,New,"Halfblock Mining Storage Box",1/2 Block Lagerkiste [00CED1](Bergbau)[-]
mcHalfCubeContainerMiningInsecure,blocks,Block,New,"Halfblock Mining Storage Box",1/2 Block Lagerkiste [00CED1](Bergbau)[-]
mcHalfCubeContainerModding,blocks,Block,New,"Halfblock Mods Storage Box",1/2 Block Lagerkiste [00CED1](Mods)[-]
mcHalfCubeContainerModdingInsecure,blocks,Block,New,"Halfblock Mods Storage Box",1/2 Block Lagerkiste [00CED1](Mods)[-]
mcHalfCubeContainerModArmor,blocks,Block,New,"Halfblock Armor Mods Storage Box",1/2 Block Lagerkiste [00CED1](Rüstungsmods)[-]
mcHalfCubeContainerModArmorInsecure,blocks,Block,New,"Halfblock Armor Mods Storage Box",1/2 Block Lagerkiste [00CED1](Rüstungsmods)[-]
mcHalfCubeContainerModVehicle,blocks,Block,New,"Halfblock Vehicle Mods Storage Box",1/2 Block Lagerkiste [00CED1](Fahrzeugmods)[-]
mcHalfCubeContainerModVehicleInsecure,blocks,Block,New,"Halfblock Vehicle Mods Storage Box",1/2 Block Lagerkiste [00CED1](Fahrzeugmods)[-]
mcHalfCubeContainerModWeapon,blocks,Block,New,"Halfblock Weapon Mods Storage Box",1/2 Block Lagerkiste [00CED1](Waffenmods)[-]
mcHalfCubeContainerModWeaponInsecure,blocks,Block,New,"Halfblock Weapon Mods Storage Box",1/2 Block Lagerkiste [00CED1](Waffenmods)[-]
mcHalfCubeContainerPlants,blocks,Block,New,"Halfblock Plants Storage Box",1/2 Block Lagerkiste [00CED1](Pflanzen)[-]
mcHalfCubeContainerPlantsInsecure,blocks,Block,New,"Halfblock Plants Storage Box",1/2 Block Lagerkiste [00CED1](Pflanzen)[-]
mcHalfCubeContainerRecycle,blocks,Block,New,"Halfblock Recycling Storage Box",1/2 Block Lagerkiste [00CED1](Recycling)[-]
mcHalfCubeContainerRecycleInsecure,blocks,Block,New,"Halfblock Recycling Storage Box",1/2 Block Lagerkiste [00CED1](Recycling)[-]
mcHalfCubeContainerResources,blocks,Block,New,"Halfblock Resources Storage Box",1/2 Block Lagerkiste [00CED1](Rohstoffe)[-]
mcHalfCubeContainerResourcesInsecure,blocks,Block,New,"Halfblock Resources Storage Box",1/2 Block Lagerkiste [00CED1](Rohstoffe)[-]
mcHalfCubeContainerToolSmithing,blocks,Block,New,"Halfblock Tool Smithing Storage Box",1/2 Block Lagerkiste [00CED1](Werkzeugschmieden)[-]
mcHalfCubeContainerToolSmithingInsecure,blocks,Block,New,"Halfblock Tool Smithing Storage Box",1/2 Block Lagerkiste [00CED1](Werkzeugschmieden)[-]
mcHalfCubeContainerWeapons,blocks,Block,New,"Halfblock Weapons Storage Box",1/2 Block Lagerkiste [00CED1](Waffen)[-]
mcHalfCubeContainerWeaponsInsecure,blocks,Block,New,"Halfblock Weapons Storage Box",1/2 Block Lagerkiste [00CED1](Waffen)[-]
mcHalfCubeContainerMeleeWeapons,blocks,Block,New,"Halfblock Melee Weapons Storage Box",1/2 Block Lagerkiste [00CED1](Nahkampfwaffen)[-]
mcHalfCubeContainerMeleeWeaponsInsecure,blocks,Block,New,"Halfblock Melee Weapons Storage Box",1/2 Block Lagerkiste [00CED1](Nahkampfwaffen)[-]
mcHalfCubeContainerRangeWeapons,blocks,Block,New,"Halfblock Range Weapons Storage Box",1/2 Block Lagerkiste [00CED1](Fernkampfwaffen)[-]
mcHalfCubeContainerRangeWeaponsInsecure,blocks,Block,New,"Halfblock Range Weapons Storage Box",1/2 Block Lagerkiste [00CED1](Fernkampfwaffen)[-]
mcHalfCubeContainerWorkbench,blocks,Block,New,"Halfblock Workbench Storage Box",1/2 Block Lagerkiste [00CED1](Werkbank)[-]
mcHalfCubeContainerWorkbenchInsecure,blocks,Block,New,"Halfblock Workbench Storage Box",1/2 Block Lagerkiste [00CED1](Werkbank)[-]
